Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - DRAŽEN KELEMINEC - A - HSP - Dražen Keleminec;NENAD ŠOKÈEVIÆ;MARIJAN GRGIÆ;IVAN ÈELIKOVIÆ;DALIBOR TUCAKOVIÆ;ŽELJKA PAVIÆ;DARKO TVRDOJEVIÆ;JULIJANA CRNJAK;MAJA GRGIÆ;DRAGO-MIRKO RASKOVIÈ;ILIJANA TUCAKOVIÆ;FRANJO TIÈAC;SARAFINA MATKOVIÆ;IRENA FERLAN;MARIJAN FARKAŠ;FOKUS, REPUBLIKA;DARIO MARENIÆ;ZVONKO PONGRAC;MARKO DRAŽETIÆ;JOSIP VITEZ;TOMISLAV POKROVAC;KAZIMIR MARKIÆ;LEO KOMARICA;KATA PAZMAN-PETRIÆ;IGOR MAJDANDŽIÆ;JASMINKA ŽUŽIÆ;IVANA PASTUOVIÆ;IVANA PAVLOVIÆ;KATARINA EREŠ;BILJANA CERIN;ODLUÈNOST I PRAVEDNOST - OIP;MIROSLAV KOVAÈ;MARINA BUDIMIR;SANJA DOZET;MARKO BAOTIÆ;DRAŽEN KAUŽLJAR;KREŠIMIR RAJIÆ;MARKO TETKIÆ;MARIN-DINO KRIŽIÆ;KATICA RUMBOÈIÆ;GABRIELA VINKOVIÆ;SLAVKO ŠPANIÆ;VIŠNJA JAKUBEK;ALEN HERCEG;PETAR GUBERAC;STRANKA IVANA PERNARA;GABRIJELA MARTIÆ;ROBERT RODIÆ;JOSIP VULIÆ;DUJE KOKAJ;PAVO LOVAKOVIÆ;MAJA ÈUHAŠ;TOMISLAV RUSKAJ;DOMAGOJ RIŠANEK;ANJA MIROSAVLJEVIÆ;MARKO FERINAC;IVONA MARKETANOVIÆ;ANA MARIJA KNEŽEVIÆ;STJEPAN KRSNIK;LIDIJA MLINARIÆ;AGRARNA STRANKA - POKRET ZA HRVATSKU POLJOPRIVREDU, AKCIJA ZA PROMJENE;JOSIP VIDAKOVIÆ;GORAN ALADIÆ;VLADO DOMBI;SANJA FARKAŠ;DEJAN TODOROVIÆ;KSENIJA KORMAN;IVA ŠANTIÆ;TOMISLAV VIDAKOVIÆ;ANTUN KOLAK;TATJANA KUKIÆ;TANJA BILOGLAV;TIN ŽUBÈIÆ;LEONILA KOLLER;IVICA ŽULJEVIÆ;DOMOVINSKI POKRET - DP, PRAVO I PRAVDA;IVAN PENAVA;JOSIP DABRO;DUBRAVKA LIPOVAC PEHAR;IVANA MUJKIÆ;BRANKA LOZO;GORAN RIBIÈIÆ;JOSIP KRPAN;IVANA PAVLIÆ;DRAŽENKO KLJAJIÆ;GORAN KAJKIÆ;MILENKO BILIÆ;NIKOLINA GALOVIÆ;SLAVKO GRGIÆ;DAMIR TRNAÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;MARIN PILETIÆ;IVAN BOSANÈIÆ;PERO ÆOSIÆ;ANTONIJA JOZIÆ;NIKOLA MAŽAR;DANIJEL MARUŠIÆ;ŽELJKO GLAVIÆ;JOSIP ŠARIÆ;TOMISLAV ZADRO;ANKICA ZMAIÆ;ANAMARIJA BLAŽEVIÆ;SANDA LIVIA MADUNA;PETAR ŠIMIÆ;JOSIP SAMARDŽIÆ;HRVATSKA STRANKA PRAVA - HSP, HRVATSKO BILO, HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS;MARINA LOGARUŠIÆ;VLADIMIR ŠEBALJ;PETAR CRNJAC;BRANKICA DENIS;VINKO DEBELJAK;IVANA BUJADINOVIÆ;VIŠNJA RAKUŠA;HRVOJE ÆORIÆ;DAVID DALIÆ;PETAR TOLIÆ;BERNARD PAŽIN;KSENIJA TOMAC ŠPOLJARIÆ;ILIJANA VRBAT PEJIÆ;DALIBOR DAMIÈEVIÆ;JAVNO DOBRO;TOMISLAV BEDEKOVIÆ;ANTUN MILIÈEVIÆ;MAJA MARTON;PETRA VODOPIJAK;MARTIN-LJUDEVIT ÈIÈAK;MILOJKA KURTIÆ;MATEJA VIDOVIÆ;EMILIJA ŽIVKOVIÆ;ADRIJANA LETIÆ;GORAN GALOVIÆ;ŠTEFICA OREŠKOVIÆ;ŽELJKO OREŠKOVIÆ;JELENA MIKIN;ANÐELA BARHANOVIÆ;MOST, HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, NEZAVISNA LISTA MLADIH - NLM;MARIJAN PAVLIÈEK;KRISTINA BAKULA;PREDRAG LIVAK;ANTONIO ŠARIÆ;MARTIN KORDIÆ;MATIJA JOŠIÆ;MIRTA ARLOVIÆ;NIKOLINA ŠARIÆ;JASNA VUKOVIÆ;VEDRANA VONDRAK;MIHAEL BANOVIÆ;SANELA GRUIÆ;MIJO RUF;NIKOLA KAJKIÆ;MOŽEMO! - POLITIÈKA PLATFORMA, HOÆEMO PRAVEDNO;MIRA ANIÆ;DAVOR CIBULA;BOJANA BILIÆ;GORAN BOŽIÈEVIÆ;ZDENKA BLAŽEKOVIÆ;PAVAO JOSIÆ;TATJANA DRAŽENOVIÆ;MICHELLE WIESENAUER;DARKO ŠVELEC;NIVES MIOŠIÆ-LISJAK;MISLAV ŠAJATOVIÆ ŠUBA;NATAŠA PAVIÈIÆ;DIJANA DORONTIÆ-RAŠKOVIÆ;SINIŠA IVANKOVIÆ;RADNIÈKA FRONTA - RF;DRAŽEN GRUBANOVIÆ;TATJANA RAVKIÆ;MISLAV KVEŠTAK;NATAŠA MEDANÈIÆ;DARKO ŠTEFAN;SVETLANA KRUNEŠ GRUBANOVIÆ;ROBERTO BOLKOVIÆ;LJILJANA ŽIVKOVIÆ;MARKO KRMPOTIÆ;PAOLA HORVAT SOVILJ;MIJO NEMET;SONJA BALAŠKO;LUKA MILJKOVIÆ;DAVOR KRŽAK;SOCIJALDEMOKRATI, ISTARSKI DEMOKRATSKI SABOR - IDS, PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, DEMOKRATI;VILIM RIBIÆ;GORAN BOŠNJAK;ŽELJKO DŽOIÆ;ZORANA BERAJA;IVICA MARIÆ;MARIJA JOSIPOVIÆ;ANTUN LASLO;IVANA KREMENJAŠ;NADA ÈELIKOVIÆ;IVAN BOKUN;SLAVKO ÐURÐEVIÆ;ENA MARIÈEVIÆ;KATICA BILOGREVIÆ SVAT;ANTE MANDARIÆ;"SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, CENTAR, HRVATSKA SELJAÈKA STRANKA - HSS, ""DALIJA OREŠKOVIÆ I LJUDI S IMENOM I PREZIMENOM"" - ""DO i SIP"", NARODNA STRANKA - REFORMISTI - REFORMISTI, GRAÐANSKO-LIBERALNI SAVEZ - GLAS";PREDRAG FRED MATIÆ;MARTINA VLAŠIÆ ILJKIÆ;MARIO MILINKOVIÆ;JOSIP ŠTOREK;BILJANA GAÆA;MARKO KRIÈKA;IVANA RIBARIÆ MAJANOVIÆ;MITAR OBRADOVIÆ;SLAVICA NIKŠIÆ;DINKO ZIMA;AGICA FERIÆ;ANTO RAVLIÆ;IRENKA MILOBARA;JOSIP KRNIÆ;UMIROVLJENICI ZAJEDNO - POLITIÈKA PLATFORMA - UMIROVLJENICI ZAJEDNO, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU;JOSIP MIJADŽIKOVIÆ;JOSIPA JOSIPOVIÆ;ZDENKA KESAK;JOSIP JOSIÆ;ANTUN MIHIÆ;BLAŽENKA TOKIÆ;TOMO RIVIÆ;SNJEŽANA GOBAC;MIRKO FEDAK;LJUBICA VAROŠANEC;IVO BREZIÆ;MIRJANA ŠUŠNJIÆ;MARICA GAŠPAR;MIRA TUPEK
005;V. IZBORNA JEDINICA;3;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;001;"HRVATSKA KOSTAJNICA - ""DONJI GRAD""";PROSTORIJE GRADA HRVATSKA KOSTAJNICA;HRVATSKA KOSTAJNICA, TRG N. Š. ZRINSKOG 1;378;237;237;229;8;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;25;17;1;0;0;0;0;0;0;0;1;0;0;0;2;107;69;0;1;6;1;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;1;0;1;0;0;0;0;0;1;3;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;45;30;1;2;0;1;0;0;1;0;1;0;0;0;1;10;4;0;1;0;0;0;1;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;3;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;002;"HRVATSKA KOSTAJNICA - ""CENTAR""";PROSTORIJE HRVATSKOG DOMA;HRVATSKA KOSTAJNICA, ULICA VLADIMIRA NAZORA 17;452;273;273;265;8;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;25;14;0;0;0;1;1;0;0;0;0;0;1;0;1;140;94;0;0;0;0;1;0;1;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17;3;0;0;0;0;0;0;0;1;0;0;0;1;2;17;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;27;0;1;0;1;0;1;0;0;0;0;1;0;0;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;3;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;003;"HRVATSKA KOSTAJNICA - ""GORNJI GRAD""";"PROSTORIJE SREDNJE ŠKOLE ""IVANA TRNSKOG"" HRVATSKA KOSTAJNICA";HRVATSKA KOSTAJNICA, HRVATSKIH BRANITELJA 14;602;259;259;244;15;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;10;0;0;0;0;1;0;0;0;0;0;0;0;2;136;78;1;0;0;0;0;0;2;1;0;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;15;5;0;1;0;0;0;0;0;1;0;0;1;0;0;6;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;46;29;1;0;0;0;2;0;0;0;0;0;0;0;0;5;1;0;1;0;0;1;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;3;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;004;ÈUKUR;DRUŠTVENI DOM ÈUKUR;ÈUKUR, ÈUKUR BB;69;30;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;3;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;005;PANJANI;PROSTORIJE MJESNOG ODBORA PANJANI;PANJANI, PANJANI BB;87;28;28;25;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;10;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;3;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;006;ROSULJE;PROSTORIJE RIBARSKE KUÆE;ROSULJE, ROSULJE BB;158;85;85;80;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;52;26;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;3;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;3;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;007;SELIŠTE KOSTAJNIÈKO;DRUŠTVENI DOM SELIŠTE KOSTAJNIÈKO;SELIŠTE KOSTAJNIÈKO, SELIŠTE KOSTAJNIÈKO BB;77;52;52;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;33;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;3;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;008;UTOLICA;PROSTORIJE MJESNOG ODBORA UTOLICA;UTOLICA, UTOLICA BB;63;34;34;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;10;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0
005;V. IZBORNA JEDINICA;16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;001;ILOK;GRADSKO POGLAVARSTVO ILOK;TRG N.ILOÈKOG 13;974;554;554;535;19;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;1;18;0;0;0;0;0;0;0;0;0;1;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;78;51;1;0;0;2;0;0;0;0;1;0;0;1;3;223;45;7;2;1;25;0;2;5;12;0;1;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;13;24;0;0;1;0;0;0;0;0;0;0;0;3;15;4;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;1;109;52;3;0;0;2;0;0;1;0;5;0;0;0;0;12;5;1;0;0;1;0;0;0;0;0;0;0;0;1
005;V. IZBORNA JEDINICA;16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;002;ILOK;DOM UMIROVLJENIKA ILOK;KOŠEVI BR. 7;942;579;579;565;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;18;0;0;0;0;0;0;0;0;0;0;0;0;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;103;66;0;0;1;0;0;0;0;0;3;0;0;0;0;275;50;25;1;3;32;3;3;6;23;0;2;0;1;1;6;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;19;31;0;0;0;0;0;0;0;0;1;0;0;3;14;1;3;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;25;1;0;2;3;0;0;0;0;0;0;0;0;0;8;0;0;1;1;1;1;0;0;0;0;1;0;0;0
