Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - DRAŽEN KELEMINEC - A - HSP - Dražen Keleminec;ELVIS MEIÆ-SIDIÆ;PAŠKO UJAKOVIÆ;MATE GOTOVAC;TANJA MESAROŠ;IVICA BAŠIÆ;MARIJA MIOÈ;ANTO VUKADIN;PETAR MILAVIÆ;SNJEŽANA PLETIKOSA;KREŠIMIR BAKOVIÆ;KRISTINA VUKADIN;JOSIP MESAROŠ;KRISTINA UJAKOVIÆ;LJILJA VUKADIN;FOKUS, REPUBLIKA;GORAN ŠIMIÆ;NIKŠA KULUŠIÆ;MIRJANA PLEÈKO;FILIP JAGARINEC;LORENZO UJEVIÆ;ŠIME MARTINOVIÆ;SANDA POLIÈAK KOKIÆ;MARTINA KRPETIÆ;MIRA LUÈEV;ANTE ÈUBRIÆ;ANTONELA GAROFULIÆ;SLAÐANA PAVLOVIÆ;SLAVIŠA PAVLOVIÆ;IVAN GULAM;ODLUÈNOST I PRAVEDNOST - OIP;DENIS MARIÆ;DINO ERCEG;MARKO GRBIÆ;MILJENKA PRENÐA SARIÆ;RONALD GALIÆ;DRAGAN OSTOJIÆ;FRANE NEKIÆ;JULIA BRAJIÈIÆ;ANDRIJA SAMARDŽIJA;AUGUSTIN BENIÆ;RADMILA PERIÆ;IVA ZADELJ;ZORAN GAŠPEROV;IVICA SVAGUŠA;STRANKA IVANA PERNARA;DANIEL MIJATOVIÆ;SAMANTA KNEŽEVIÆ;DANIJEL BALTIÆ;ANDREA NOVAKOVIÆ;KRISTIAN ŠULJAK;TINA ALMIÆ;DOLORES MILOVAC;GRGO PLAZINA;NIKOLINA UJAKOVIÆ;IVAN ÐURIÆ;LUKA MOHENSKI;ROBERT BUZOV;HANA BEKINA;BRANKO BUZOV;AKCIJA ZA PROMJENE, AGRARNA STRANKA - POKRET ZA HRVATSKU POLJOPRIVREDU;MARKO JELIÆ;IVICA ŽUVELA;MARKO GRUBELIÆ;KRISTINA PERIÆ;BRUNO MIŠLOV;SNJEŽANA JOLIÆ;SANJA RADIN-MAÈUKAT;JASMINKA TOMIÆ;SANJA LULIÆ;JELENA KAIÆ;ANTE ŠEPAROVIÆ;LIDIJA SLAVIÆ;ZLATKO ÆESIÆ;GORAN MLADENOVIÆ;DOMOVINSKI POKRET - DP, PRAVO I PRAVDA;DAMIR BILOGLAV;IVAN ŠIPIÆ;PREDRAG MIŠIÆ;IVE ÆALETA-CAR;FRANE TOKIÆ;DANIJEL KOTLAR;MIRO MORO;ANAMARIJA FRANKIÆ;SNJEŽANA KULIŠ;JELENA GRGIÆ;MARIJA ŠARAC;DANICA ŽARKO;SNEŽANA ŽAJA;DAMJAN VUCELIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;IVAN MALENICA;ŠIME ERLIÆ;ANTE SANADER;BRANKA JURIÈEV-MARTINÈEV;JOSIP BILAVER;IVAN BUGARIN;HRVOJE ZEKANOVIÆ;ANTE BABIÆ;JAKOV VETMA;NIKOLINA BARADIÆ;PERICA BOSANÈIÆ;JURE BRIŽIÆ;TONÈI GLAVINA;ŽELJKO BURIÆ;HRVATSKA STRANKA PRAVA - HSP, HRVATSKO BILO, HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS;ŽELJKO GLASNOVIÆ;ANGELO ŽILIÆ;MARKO SKEJO;LUKA PODRUG;ANA NIMAC;IVANKA ŠPRALJA;LUCIJA SKORUP;GORDANA PUTNIK;HELENA MIŠKOVIÆ DUŽEVIÆ;IVONA ŠPRALJA;MLADEN BOBIÆ;ALBERT BOŽULIÆ;ANTO KOMLJEN;MATE LUKIÆ;HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ;SLOBODAN DEVIÆ;IVICA MIKULIÆ;MIRANDA JAMNICKI DOIMI DI DELUPIS;NENAD KLARIÆ;IVE MILETIÆ;VESNA PALEKA;NATHALIE DIJOUX BRALIÆ;ANTE KATALINIÆ;ŽELJKA BARIÈEVIÆ;ENA BLAGOJEVIÆ;MARIO ZRILIÆ;JASMINKA KEKIÆ ŽEPINA;SILVIJA HLUBNI BARABA;BOŽIDAR LOKIN;JAVNO DOBRO;MARJANA BOTIÆ;IVAN TEŠIJA;ŽELJAN JURLIN;MIRTA TOMAS;ZRINKA MATKOVIÆ VICULIN;VJERAN DUVNJAK;ROBERTO JENJIÆ;TATJANA PAUN;NINA VELÈIÆ BUSANIÆ;MARIO ŽIVKOVIÆ;TEA KURTIÆ;SLAVEN ŠIMIÆ;LADISLAV RADOSLOVIÆ;ARSEN MUJAGIÆ;MOST, HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, NEZAVISNA LISTA MLADIH - NLM;MIRO BULJ;IVAN MATIÆ;IVICA LEDENKO;MILIJA BALDIÆ-LUKŠIÆ;IVAN ANDABAK;ŽELJANA POPIÆ;MIHOVIL KLARIÆ;MARINA PAŠKALIN;KLARA BUŠIÆ;MARIJAN JURIÆ;IVANA ŠEVO;BISERKA GRGIN;IVAN ŠUSTIÆ;PETAR MARETIÆ;MOŽEMO! - POLITIÈKA PLATFORMA;MAJA ŠINTIÆ;IVAN SLAVICA;ANA ŠIMIÆ;MARKO LUKAVAC;NINA MILIÈEVIÆ;IVICA SMOLJAN;SILVANA ÈEKO JURIŠIÆ;ZDRAVKO BELUŠIÆ;IVA IVAS;DUŠAN MILOŠ;ANTONIJA LETINIÆ;JERE MEIÆ;PETRA HRAŠÆANEC;DUNJA GUSIÆ;RADNIÈKA FRONTA - RF;BORIS MIJAKOVAC;LUJANA PARAMAN;TONI BEDALOV;ANÐELKA ANTULOV;IVAN BARIÆ;KATARINA NEMET;IVO MATULIÆ;GORAN KAUZLARIÆ;BORISLAVA VULIÆ;GORDANA ŽIC;SLAVEN KUPINA;MARGARITA ZIKOLLAJ BARBARIÆ;BELA NADJ;MARIO MARKOVINA;RIÈARD NEZAVISNI;MARIN PIJACA;DRITA DUNATOV;RINO RADOS;ANADIA KOŽUL;ŽELJKO KRIZMAN;ADELA FRANK;VITO DOVRANIÆ;LUCIA MATEŠIÆ;MARKO ŽORŽ;ANTONIA MEŠTROVIÆ;IVAN JURKOVIÆ;BRANKICA MATULJ;SRÐAN ÈUKLIN;DAVOR OLIÆ;SOCIJALDEMOKRATI, ISTARSKI DEMOKRATSKI SABOR - IDS, PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, DEMOKRATI;FRANKO VIDOVIÆ;RENATA SABLJAR-DRAÈEVAC;MARIJAN STAREŠINIÆ;RADOSLAVA GREGOV;MARIO DRAUŠNIK;ANKICA KOSOVEC-KRŽELJ;MLADEN MATIJAŠEC;ZLATKO VUIÆ;DIANA MARTINOVIÆ;ANA-MARIJA ÈULE IVKIÆ;FABIANA VIDOVIÆ;IVAN KOZOLIÆ;ANTONIJA ŠMISL MATKIÆ;JOSIP MANDIÆ;"SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, CENTAR, HRVATSKA SELJAÈKA STRANKA - HSS, ""DALIJA OREŠKOVIÆ I LJUDI S IMENOM I PREZIMENOM"" - ""DO i SIP"", NARODNA STRANKA - REFORMISTI - REFORMISTI, GRAÐANSKO-LIBERALNI SAVEZ - GLAS";SABINA GLASOVAC;TONÈI RESTOVIÆ;IRENA DRAGIÆ;IGOR SKOKO;BRANKO GRÈIÆ;NATAŠA DELONGA POPARIÆ;DANIEL RADETA;RUŽICA JAKŠIÆ;KARLO KLARIN;IVANA VUÈENOVIÆ;IVANA PERIŠIN;ZDENKO JUKIÆ;ANJA RAMADŽA;PETAR VRVILO;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ;MILJENKO MARIÆ;NIKOLA ŠIMIÆ;AUGUSTINA RIMANIÆ;ANAMARIJA ÆURKOVIÆ;ZLATKO DUNDOVIÆ;DRAGAN GOVORÈIN;DANIJELA BUDANOVIÆ;NIVES KAURLOTO-VUÈINOVIÆ;VINKO KLARIÆ;GORDANA MILIN;SLAVKO BURÈUL;ANÐELKA KRNETA;JULIJE JELASKA;GAŠPAR BILIÆ;UMIROVLJENICI ZAJEDNO - POLITIÈKA PLATFORMA - UMIROVLJENICI ZAJEDNO, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU;DUŠKO VUKOVIÆ;ANÐELKO DUVANÈIÆ;MARKO MIJIÆ;ROBERT PELICARIÆ;ZVJEZDANA RONÈEVIÆ HRS;MARTINA MATACIN;KATARINA NEKIÆ;VLADIMIR HRS;CARLA SANTIN;ANITA MERLE;BORIS FRAKIN;PAOLA BABAJKO;BOŽO NEKIÆ;JELENA VUKOVIÆ
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;001;BENKOVAC 1;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1321;552;552;544;8;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;1;1;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;86;14;4;3;1;33;3;0;0;0;1;0;0;1;0;245;37;78;3;2;12;0;11;1;0;3;0;1;0;2;13;6;0;5;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;13;7;2;0;0;0;0;0;0;0;0;0;5;0;20;0;0;0;0;0;0;0;0;0;0;0;1;0;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;93;27;1;0;1;8;0;8;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;002;BENKOVAC 2;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1348;555;544;530;14;3;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;1;0;0;0;0;1;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;11;7;0;0;0;0;0;0;0;0;0;0;0;0;0;100;25;0;6;0;35;3;0;0;0;0;0;1;0;1;214;37;63;0;5;11;0;3;0;0;5;0;2;0;0;20;7;0;4;0;0;0;0;0;0;0;0;0;0;4;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;17;4;1;0;0;1;0;0;0;0;0;0;0;0;10;2;0;1;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;3;1;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;33;2;0;1;9;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;1;0;0;0;0;0;0;1;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;003;BENKOVAÈKO SELO;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;754;250;250;243;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;37;6;0;1;0;17;1;0;1;0;1;0;0;0;0;109;14;23;3;0;1;0;3;3;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;17;2;2;0;0;0;1;0;0;0;0;0;0;0;5;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;12;0;0;1;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;004;ŠOPOT;"OBJEKT ""KONOBA"" VL. MARIJAN ROGIÆ ZV.  ""MAÆO""";ŠOPOT;320;167;167;159;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;4;0;0;0;9;0;0;0;0;0;0;0;0;0;95;19;23;2;1;1;0;2;0;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;005;PODLUG;PODRUÈNA ŠKOLA;PODLUG;165;100;100;97;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;3;0;0;0;0;0;0;0;0;0;66;12;22;1;0;0;0;1;0;0;4;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;006;PERUŠIÆ BENKOVAÈKI;PODRUÈNA ŠKOLA;PERUŠIÆ BENKOVAÈKI;238;123;122;118;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2;1;0;0;9;0;0;0;0;0;0;0;0;0;61;10;24;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;1;0;0;0;0;0;0;0;0;0;0;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;007;PRISTEG;PODRUÈNA ŠKOLA;PRISTEG;442;169;169;166;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;4;0;5;0;13;0;0;0;0;0;0;0;0;0;76;13;10;2;0;5;0;4;4;0;8;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;22;9;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;008;DOBRA VODA;ZGRADA PODRUÈNE ŠKOLE;DOBRA VODA;67;44;44;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;1;8;0;0;2;0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;009;RADOŠINOVCI;PODRUÈNA ŠKOLA;RADOŠINOVCI;184;98;98;95;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;4;0;1;0;8;2;0;0;0;0;0;0;0;0;59;6;6;0;0;0;0;1;0;0;18;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;010;VUKŠIÆ;PODRUÈNA ŠKOLA;VUKŠIÆ;563;245;245;240;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;43;3;2;0;0;26;0;0;0;0;0;0;0;0;0;154;31;36;1;0;1;0;8;1;0;4;0;0;0;1;9;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;0;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
