Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - DRAŽEN KELEMINEC - A - HSP - Dražen Keleminec;NENO DOŽDOR;DAVOR MAJIÆ;DOBRILA KUDUZ;DAMIR KULIŠIÆ;MARIO VELA;ANDREA PAVLETIÆ;MIRO MATEŠAN;ANTONIA DURDOV;EMILIANO ŠTIMAC;MIRJANA KULIŠIÆ;IVICA RAMLJAK;MARTA MAJIÆ;GROZDANA MATEŠAN;DRAGAN NIZIÆ;FOKUS, REPUBLIKA;MATO PAVLIÈEVIÆ;ANTE MLADINIÆ;MIROSLAV PAVLOVIÆ;NIKOLINA BILIÆ POLJANIÆ;RANKA CVITANOVIÆ;MAJA BOSNIÆ TABAIN;SANDRA TABAIN;JAKOV JURÈEVIÆ;SANDA SMOLÈIÆ ODAK;JORDAN ATANASOSKI;IVANA HREN;IVANA JERKOVIÆ;SNJEŽANA JURKOVIÆ;MARIJO VOLAREVIÆ;ODLUÈNOST I PRAVEDNOST - OIP;JAKOV ÈIÈMIR;MATE ÈOBRNIÆ;MINJA KARL;MATE PLETIKOSIÆ;ANÐELA IVANÈIÆ;MIRKO PETRUŠIÆ;MARIJA SAMARDŽIÆ;TONI ÆALETA;DANIJELA MUCIÆ;SLOBODAN VUKOTIÆ;MILJENKO VARNICA;MARTA ZONJIÆ;LORENZA MILETIÆ;DAVOR KARNINÈIÆ;STRANKA IVANA PERNARA;PETAR VUJAKLIJA;AVA KARABATIÆ;LILJANA PERNAR;STIPE TOMAŠEVIÆ;MARKO VUÈKOVIÆ;MAJA ANDRIÆ;JOSIP ŠIMAC;IVICA KELAVA;TONI RAKIÆ;KATICA VUJAKLIJA;JULIJAN PRANJIÆ;MARIO MAREVIÆ;MARIJANA KATALENIÆ;SVJETLANA STRAGA;DALMATINSKA AKCIJA - DA;NINO AVIANI;DAMIR ŠALOV;SRÐAN BENZON;JASMINA VUKOVIÆ;LJILJANA ŠUÆUR;DOMAGOJ MIJAN;ŽELJKA MEDIÆ;JELENA BAKOTIN RUŽIÈIÆ;MAJA ANTONINI;DUŠAN RADICA;ANTONIO KULIÆ;BRANKA KUZMAN;DRAGAN MARTINOVIÆ;STANICA ÈIP;DOMOVINSKI POKRET - DP, PRAVO I PRAVDA;STIPO MLINARIÆ;IVICA KUKAVICA;RIÈARD MILUN;JOSIPA BARIÆ;ANITA PERVAN;IVANA ÈAGALJ;ZLATAN BAŠIÆ;ANA ZRINKA KUROBASA;ANTE JELAVIÆ;IVONA TOPIÆ ÆERLEK;MARIN MATAGA;MILA JAKOVLJEVIÆ;SREÆKO SLADOLJEV;MARKO ŽAJA;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;BRANKO BAÈIÆ;BLAŽENKO BOBAN;TOMISLAV ŠUTA;MATO FRANKOVIÆ;ANDRO KRSTULOVIÆ OPARA;MARIJA VUÈKOVIÆ;DANICA BARIÈEVIÆ;ANTE ŠOŠIÆ;DALIBOR MILAN;IVAN BUDALIÆ;JURE BRKAN;ZRINKA MUŽINIÆ BIKIÆ;IVO RADICA;DAMIR KRSTIÈEVIÆ;HRVATSKA STRANKA PRAVA - HSP, HRVATSKO BILO, HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS;LUKA ROGULJIÆ;KAŽIMIR TOMASOVIÆ;GORDANA BOŽIKOVIÆ;ANTE GRUBIŠIÆ;STJEPAN LASIÆ;MARKO JONJIÆ;ŽANA JOVIÆ;MARIO GALOV;SLAVEN MARŠIÆ;IVA BOROVINA;MATIJA STIPETIÆ;DANICA PLASTIÆ;DANIJELA ŠEVERDIJA;BRUNA ESIH;JAVNO DOBRO;VLADIMIRA MASCARELL;ELEONORA MANDIÆ;ANA DOMANÈIÆ KRSTULOVIÆ;JOZO BAN;MIROSLAVA ZENÈIÆ;LEO LJEPOTIÆ;TOMO ŠARIÆ;VESNA ROŽIÆ;LUKA JURLIN;JAKICA CETINIÆ;RENATO COTTIERO;ANTONIA GRANCARIÆ;ŽELJKO ILIÆ;IVAN ÆUSTIÆ;MOST, HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, NEZAVISNA LISTA MLADIH - NLM;BOŽO PETROV;ANTE KUJUNDŽIÆ;MILAN PERIŠIÆ;TIHOMIR GALIÆ;JOSIP MIKUŠ;DAŠA DRAGNIÆ;IVICA DAJAK;ZVONIMIR NEDILJKO ÈONDIÆ-GALINIÈIÆ;KRISTINA JERÈIÆ;PIA CVITKOVIÆ;INDIRA ASANOVIÆ;PAOLA MALIÆ;IVANA PLOÈKINIÆ;MATEJAS JOZIPOVIÆ;MOŽEMO! - POLITIÈKA PLATFORMA, SRÐ JE GRAD;ÐURO CAPOR;TAMARA VISKOVIÆ;IGRA ŠAIN KOVAÈEVIÆ;PETRA MARÈINKO;IVICA PROFACA;VINKA LOZICA;TANJA JADREŠIÆ;IGOR MIOŠIÆ;ŽASMINA PANKOVA POKROVAC;STJEPAN MIŠIÆ;MILANA ROMIÆ VIÐEN;IVER PEŠUT;MARIJA VUJOŠEVIÆ CARIÆ;MARKO GILJAÈA;RADNIÈKA FRONTA - RF;ZORAN RADMAN;PETRA BOŽANJA;ÐILDO BAVÈEVIÆ;MIRNA PAPUGA;FILIP BOROVIÆ;TIJANA NOVAKOVIÆ;DAMIR MILIŠA;BLAŽENA RADAS;JAN TEŽAK;TINA GETO;TEO MARINKOVIÆ;JOVANKA VULIÆ;JAN LJUBAS;IVICA ANIÆ;RIÈARD NEZAVISNI;ENIO MEŠTROVIÆ;SERGEJ KOZMI;MARIO PRIŽMIÆ;IVANA ÈALJKUŠIÆ;GORANA JURJEVIÆ;JOSIP RADOJA;MIA MIHANOVIÆ;IVAN KNEZOVIÆ;ŽELJKA BILANDŽIÆ;IVANA BUZOV;JOSIP ŠAKIÆ;ANTE ÈALJKUŠIÆ;MARIJANA KANJER;DRAGAN VESELIÆ;SOCIJALDEMOKRATI, ISTARSKI DEMOKRATSKI SABOR - IDS, PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, DEMOKRATI;KUZMA TOMAŠIÆ;KATICA GLAMUZINA;MARINA BRATIÆ;DANIJELA BARBIR;MIRA MOROVIÆ;BORIS DUÈIÆ;FEÐA BONE;MATO MARLAIS;VIŠNJA VLADUŠIÆ;BRANKO MILARDOVIÆ;NENAD HERVATIN;ZLATKO MARGAN;LJILJA MIKAŠINOVIÆ;IVAN ÈIZMIÆ;"SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, CENTAR, HRVATSKA SELJAÈKA STRANKA - HSS, ""DALIJA OREŠKOVIÆ I LJUDI S IMENOM I PREZIMENOM"" - ""DO i SIP"", NARODNA STRANKA - REFORMISTI - REFORMISTI, GRAÐANSKO-LIBERALNI SAVEZ - GLAS";RANKO OSTOJIÆ;IVICA PULJAK;IVANA MARKOVIÆ;MIŠO KRSTIÈEVIÆ;DAMIR BARBIR;KATARINA GUGIÆ;VIKTORIJA KNEŽEVIÆ;JOŠKO MARKIÆ;NIKA SILIÆ MAROEVIÆ;GORDANA MUHTIÆ;GORANA ROSANDIÆ;MATKO BURIÆ;RAFAELA MATIÆ;ANITA BONAÈIÆ OBRADOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP;IVAN GRBEC;MARKO VESELINOVIÆ;ANA LUNIÆ;DRAGO MINDOLJEVIÆ;ŽIVANA ŠAŠLIÆ;ALEKSANDRA PREININGER;ŠIME GULIN;SUZANA NEDIÆ;NEVENKA BARIŠIÆ;MATE ÈULIÆ;BISERKA ADORIÆ;JUSTINA KORDIŠ;MIJO JURETIÆ;RANKO ADORIÆ;UMIROVLJENICI ZAJEDNO - POLITIÈKA PLATFORMA - UMIROVLJENICI ZAJEDNO, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU;IVANKA LUETIÆ BOBAN;BORIS NIKOLIÆ-MALORA;IVAN BUBALO;FRANKO BARÈOT;MARKO KOVAÈEVIÆ;ANITA KOVAÈ;JASMINKA BUBIÆ;IVAN IVAKIÆ;DIJANA VIŠIÆ-VULJAN;NEVENKA LISICA;NINA BILANDŽIÆ;VOJKO IVICA;TONÆI MARINOVIÆ;MIRKO KOZINA
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;001;BRSEÈINE M.O. BRSEÈINE;MJESNI ODBOR BRSEÈINE;BRSEÈINE BB;83;53;53;53;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;0;2;0;0;0;0;0;0;0;0;0;2;0;32;3;0;0;23;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;002;DUBRAVICA M.O.DUBRAVICA;PROSTORIJE MJESNOG ODBORA DUBRAVICA;DUBRAVICA BB;32;24;24;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;21;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;003;DUBROVNIK G.K. PLOÈE IZA GRADA;GIMNAZIJA I;FRANA SUPILA 3;710;453;453;435;18;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;17;0;11;0;0;1;0;0;0;0;0;0;6;1;142;26;0;0;72;2;0;0;0;2;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;15;1;0;0;11;0;0;0;0;0;0;0;0;0;63;30;0;1;9;0;0;0;0;0;0;3;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;21;10;1;2;0;0;27;0;0;0;0;0;0;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;004;DUBROVNIK G.K. PLOÈE IZA GRADA;GIMNAZIJA II;FRANA SUPILA 3;597;344;344;337;7;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;2;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;15;0;5;0;0;0;0;0;0;0;0;0;2;0;95;18;0;0;49;1;1;0;0;0;0;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;12;0;0;0;4;0;0;0;0;0;0;0;0;0;59;34;0;0;3;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;17;3;0;2;1;1;17;0;0;0;0;1;1;25;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;005;DUBROVNIK G.K. PLOÈE IZA GRADA;UGOSTITELJSKA ŠKOLA;ŽUPSKA BROJ 2;475;286;286;279;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;12;0;14;0;0;0;0;0;0;0;1;0;4;1;75;19;0;0;35;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5;1;0;0;2;0;0;0;0;0;0;0;0;0;54;21;2;0;4;0;0;0;3;0;0;1;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;12;1;1;3;3;0;22;2;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;006;DUBROVNIK G.K. GRAD;"OSNOVNA ŠKOLA ""MARINA GETALDIÆA"" DVORANA B";N.GUÈETIÆA 1;656;412;406;395;11;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;42;11;0;5;0;0;1;0;0;0;0;0;0;16;0;123;22;0;0;54;1;1;1;0;0;0;0;0;0;16;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;21;0;0;0;8;0;0;0;0;0;0;1;0;1;70;38;1;0;3;0;0;0;1;0;0;0;0;0;10;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;75;8;4;0;2;0;1;15;0;0;0;0;0;0;14;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;2;0;0;0;0;0;0;1;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;007;DUBROVNIK G.K. GRAD;"OSNOVNA ŠKOLA ""MARINA GETALDIÆA"" DVORANA A";N. GUÈETIÆA 1;894;554;554;526;28;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;19;0;6;0;0;0;0;0;0;0;0;0;8;1;171;26;0;0;96;0;0;0;1;1;0;0;0;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;62;27;0;0;0;13;0;1;0;0;0;0;1;0;0;73;35;2;0;5;0;0;0;0;0;0;0;0;0;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17;10;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;22;13;0;7;3;0;14;0;0;1;0;0;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;3;0;0;0;0;0;1;0;0;0;0;0;2;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;008;DUBROVNIK G.K. PILE-KONO;POSLIJE DIPLOMSKO SREDIŠTE;DON FRANA BULIÆA 4;903;537;535;524;11;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;2;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;20;0;5;0;0;0;0;0;0;1;0;0;8;5;181;47;0;0;66;1;0;1;0;1;0;0;0;1;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;11;1;0;0;6;0;0;0;0;1;0;0;0;0;71;32;1;0;6;0;0;0;3;0;0;2;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;30;13;1;4;2;0;33;0;0;0;0;0;1;25;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3;0;0;0;0;1;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;009;DUBROVNIK G.K. PILE - KONO;"OSNOVNA ŠKOLA ""MARINA DRŽIÆA""";VOLANTINA  6;1258;770;770;741;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;0;0;0;1;0;0;0;0;8;1;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;23;0;17;0;0;0;0;0;0;0;0;0;1;1;225;43;1;0;99;3;2;0;2;1;2;0;0;1;20;5;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;86;38;0;0;0;21;1;0;0;0;1;0;0;0;0;113;54;2;1;7;0;0;0;3;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;1;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;198;29;16;0;6;1;0;34;0;0;0;0;1;0;41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;6;0;0;1;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;010;DUBROVNIK G.K. PILE - KONO;ZAVOD ZA ZAPOŠLJAVANJE;V. NAZORA  5;932;565;564;546;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;1;0;0;0;0;0;0;0;1;0;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;29;0;18;0;0;0;0;0;2;0;0;0;7;1;157;29;0;0;75;1;1;0;0;0;0;0;0;0;14;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;20;1;0;0;19;0;0;0;0;1;0;0;0;2;72;29;2;0;2;0;1;0;3;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;20;9;0;3;0;0;27;0;0;0;0;1;0;38;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;1;0;0;0;0;0;0;0;0;0
