Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - DRAŽEN KELEMINEC - A - HSP - Dražen Keleminec;DRAŽEN KELEMINEC;MATE DILBER;VANJA STERMOLE;TOMA ŠTEDUL;HEIDI MILÈIÆ;VID ROŠÈAK;JASMINKA MAJIÆ;ÐURO MARKUŠ;NENAD CEPAK;MARIJAN GOLUBIÆ;GORAN KUMPARE;JASENKA STIPETIÆ FERENÈABA;ZDENKA RADIÈIÆ;ZVONKO MAJIÆ;FOKUS, REPUBLIKA;IVAN JANKOVIÆ;GORAN BUKOVAC;HRVOJE JURKOVIÆ;KREŠIMIR KUTEROVAC;VIKTORIJA ROGIÆ;SABRINA PEJIÆ;MAJA LINIÆ;ARIJANA MRZLJAK;DAVORKA ŠUŠNJIÆ;ZVONIMIR CRNOGORAC;GRETA BURŠIÆ;MARKO LESKOVAR;IRENA PEJAKOVIÆ;DANIJEL TUŠAK;ODLUÈNOST I PRAVEDNOST - OIP;ROBERT KRPES;ANA KRIVAK;ZVONKO TOMLJENOVIÆ;DANIJEL OPRAUŠ;TOMISLAV BOŽIÈEVIÆ;IVAN JAKUBEK;KRISTIJAN ŠANDOR;VEDRAN ÈANIÆ;DALIBOR DOKMANIÆ;IVAN MATAK;MARIO MARINCEL;JOSO PERKOVIÆ;BORIS MORO;IVANA FRANUL;STRANKA IVANA PERNARA;GORDAN ŠEBALJ;FRANJO MIROSLAV PERKOVIÆ;JOSIP ŽUÈKO;NATAŠA POGAÈIÆ;MIHAIL MARŠON;TIHANA SVIBEN;IVANA PERIÆ;ANDREJ SAJKO;SONJA PERKOVIÆ;TOMISLAV MILINOVIÆ;VIŠNJA ŠIMIÆ;DALIBOR MEDVEDOVIÆ;ZORAN RADMAN;ANÐELA MARUSZKY;AKCIJA ZA PROMJENE, AGRARNA STRANKA - POKRET ZA HRVATSKU POLJOPRIVREDU;NEBOJŠA ANDRIÆ;DAVOR SMUÐ;DANIJEL JURKAŠ;ANDREA CULI;GORDANA LIPŠINIÆ;ŽELJKA VULETIÆ;DAMIR RADINOVIÆ;ZLATKO MIHALJEVIÆ;LAHORKA BOBETKO;GORDANA STJEPANOVIÆ;DAVID ANÈIÆ;IVANKA TURKALJ;JOSIP TUMPAK;GORAN ÐEKIÆ;DOMOVINSKI POKRET - DP, PRAVO I PRAVDA, DEMOKRATSKI HSS - DHSS, ZELENA LISTA;JOSIP JURÈEVIÆ;DAMIR MARKUŠ;ŽELJKO LENART;ALENKO RIBIÆ;VLATKO IVKA;VIKTORIJA KALEB;ROMANA MILAJÈIÆ;ZVONIMIR MRGAN;SONJA BABIÆ;ŠIME BUŠKULIÆ;IVA KUÈINIÆ RADOŠEVIÆ;ANKICA ROSANDIÆ;DUBRAVKA BIJELIÆ;FILIP JARNEVIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;TOMO MEDVED;IVAN CELJAK;MARTINA FURDEK-HAJDIN;MARIJANA PETIR;ERNEST PETRY;VESELKO GABRIÈEVIÆ;NIKOLINA BRNJAC;MAJDA BURIÆ;RADE ŠIMIÈEVIÆ;MAGDALENA KOMES;DAMIR MANDIÆ;ANÐELKA SALOPEK;SANJA MIOKOVIÆ;IVAN DABO;HRVATSKA STRANKA GRAÐANSKOG OTPORA - HSGO;DRAŽEN KATIÆ;DEJAN VINÈIÆ;MARIETTE DAMJANOVIÆ;ANEL DŽAFEROVIÆ;JADRANKO PODVRŠAN;VERA POGELŠEK;VALENTINA CVITKOVIÆ;TOMISLAV VRBANIÆ;ANITA KLADNIK;KATARINA BEŠIÆ;MARINA ŽLIÈAR;BISERKA HAAG;MARIJAN URH;SLAVKO MACENIÆ;HRVATSKA STRANKA PRAVA - HSP, HRVATSKO BILO, HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS;ANTE PRKAÈIN;NIKICA AUGUSTINOVIÆ;ŽELJKO BELANEK;MARIA ÆAÆIÆ;GORAN MARKOVAC;MARIO VRSELJA;DAMIR PUÈAK;RENATA ÈAÈIÆ;ANTONIA LOVREKOVIÆ;ÐURÐICA JURIÆ;LEONI GLAD;JOSIP ŽARAK;DIJANA LIPOVAC;IVAN PIŠKOR;MOST, HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, NEZAVISNA LISTA MLADIH - NLM;ZVONIMIR TROSKOT;LUCA GAŠPAR ŠAKO;ŠIME GLIGORA;ANAMARIJA JURKOVIÆ;FRANO ÈIRKO;HRVOJE BEZJAK;NEVIO KLARIÆ;ROBERT GROZA;LJILJANA LAMPERT;TANJA ŠIMANIÆ;RAFAELA SURINA;GORDANA BREZINŠÆAK ÐOZO;IVAN BULAJA;FRANE VUÈETIÆ;MOŽEMO! - POLITIÈKA PLATFORMA, HOÆEMO PRAVEDNO;DRAŽENKA POLOVIÆ;IVA IVŠIÆ;DOBRIŠA ADAMEC;ORJEN PETKOVIÆ;ANA ALAPIÆ;DIMITRIJE BIRAÈ;VLASTA LENDLER-ADAMEC;DUBRAVKO GOLUBIÆ;VLATKA KRIZMANIÆ;SANDA ÆAKIÆ;ZLATKO DOMLJAN;NEVENKA SUDAC-VINSKI;SNJEŽANA DRVODELIÆ;ANA MATAN;NARODNA STRANKA - REFORMISTI - REFORMISTI, PRIMORSKO GORANSKI SAVEZ - PGS, ISTARSKI DEMOKRATSKI SABOR - IDS, UNIJA KVARNERA - UNIJA, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI - UMIROVLJENICI;ALENKA KOŠIŠA ÈIÈIN-ŠAIN;SNJEŽANA PODOBNIK;MIRELLA MLADIN;MARKO SOBOTINÈIÆ;ZINKA BRATUŠA;DUŠAN ŠTEMBERGER;ŽELJKO BEDEKOVIÆ;NATAŠA BLAŽEVIÆ STARÈEVIÆ;MARIJAN ŠTEFANKO;DAVID MAROT;INGRID KRŠULJA;SANDRO VIZLER;IVANA TRTANJ;NEDJELJKO PINEZIÆ;RADNIÈKA FRONTA - RF;ANTON GLASNOVIÆ;SANDRA KASUNIÆ;ANDREJ GEORGIEVSKI;RUŽICA KARTELO;VELIBOR VALENTA;KSENIJA BATALO;NIKOLA GVOJIÆ;JASMINKA BUIÆ;MLADEN BRAJAK;ANITA BUHIN;JOSIP IVANÈIÆ;MARIO ZAJIÈEK;IVICA ŠUSTIÆ;MIRTA MATAIJA;SOCIJALDEMOKRATI, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, DEMOKRATI;NATAŠA NOVAKOVIÆ;DAVID BREGOVAC;TOMISLAV ZRINSKI;KATARINA PLEŠA JAKOVLJEVIÆ;DALIBOR ŽILJAK;TIHANA POCHOBRADSKY;MOMIR RAJŠIÆ;TANJA JOVIÆ;LUKA PAVLOVIÆ;JURICA KLARIÆ;KRISTINA KOSTADINOVSKA;TAMARA VIDAÈEK;BOŽIDAR RAUCH;BRANKO KUKURIN;"SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, CENTAR, HRVATSKA SELJAÈKA STRANKA - HSS, ""DALIJA OREŠKOVIÆ I LJUDI S IMENOM I PREZIMENOM"" - ""DO i SIP"", GRAÐANSKO-LIBERALNI SAVEZ - GLAS";KRISTINA IKIÆ BANIÈEK;IVICA LUKANOVIÆ;SANDRA KRPAN;DALIBOR DOMITROVIÆ;BRANKA BAKŠIÆ-MITIÆ;MIRELA MIKIÆ MUHA;ZDENKO MOÈNIK;MATEJ MOSTARAC;DRAGICA MALOVIÆ;TONI ŠTIMAC;KREŠIMIR ÈULINOVIÆ;JASMINKA MOLNAR;TONI HERENDA;VOJKO OBERSNEL;UMIROVLJENICI ZAJEDNO - POLITIÈKA PLATFORMA - UMIROVLJENICI ZAJEDNO, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU;VESNA HORVAT;MILIVOJ TIÈARIÆ;BISERKA SCHMUCK;JOSIP MILINKOVIÆ;VLADIMIR MARIJAN TUDJA;MARIJA VRBANAC;IVAN JELENÈIÆ;STJEPAN TOMEÈAK;KSENIJA DRAKULIÆ;ILIJA KORDIÆ;JELENA MANDIÆ;ŽELJKO JEZDIÆ;MARIJA ANDRIŠÈAK;SNJEŽANA DOZET;Latitude;Longitude
7;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;1;BIRAÈKO MJESTO BR. 1 U ÈABRU;VIJEÆNICA GRADA ÈABRA U ÈABRU;NARODNOG OSLOBOÐENJA 2, ÈABAR;571;288;288;282;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;1;0;0;0;0;0;0;0;0;1;80;28;0;1;3;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;8;0;0;0;0;1;1;0;0;0;0;0;0;1;16;2;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;1;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;114;9;2;1;1;0;0;0;0;0;41;0;0;0;14;11;2;0;0;0;0;0;0;0;0;1;1;0;0;0;45.5639922;14.6300719
7;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;2;BIRAÈKO MJESTO BR. 2 U PREZIDU;ZGRADA OSNOVNE ŠKOLE U PREZIDU;GORANSKA 103, PREZID;675;322;322;307;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;5;1;0;1;0;0;0;0;0;0;0;0;0;0;77;13;0;2;5;1;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;18;8;0;0;0;0;1;0;0;0;0;0;0;0;0;24;1;1;1;0;0;0;0;0;1;1;1;0;1;0;9;1;0;0;1;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;138;5;4;1;0;3;0;0;0;0;42;0;0;0;10;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;45.6386102;14.575467
7;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;3;BIRAÈKO MJESTO BR. 3 U TRŠÆU;ZGRADA DRUŠTVENOG DOMA U TRŠÆU;ŠKOLSKA 1, TRŠÆE;729;393;393;379;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;5;1;0;0;0;1;0;0;0;1;0;1;0;6;108;29;0;1;2;0;1;1;14;0;0;0;1;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;33;14;0;0;0;0;1;0;0;1;0;0;0;0;0;19;1;0;0;0;0;0;0;0;0;0;0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;149;7;2;3;0;2;0;5;0;0;53;0;2;0;16;15;2;1;0;0;0;0;1;0;0;0;0;0;0;0;45.5648279;14.6287568
7;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;4;BIRAÈKO MJESTO BR. 4 U GEROVU;ZGRADA OSNOVNE ŠKOLE U GEROVU;ZAGREBAÈKA 2, GEROVO;847;475;475;456;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;28;5;2;0;0;0;0;0;0;1;0;0;0;0;2;174;44;0;1;1;0;0;0;42;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;29;9;0;0;1;0;0;0;0;1;0;0;0;1;0;8;1;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0;0;3;0;0;0;0;0;0;0;1;169;4;0;0;1;1;2;2;0;0;70;0;0;0;14;18;5;1;0;0;0;0;0;0;0;0;0;0;0;0;45.5149939;14.6437273
7;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;5;BIRAÈKO MJESTO BR. 5 U PLEŠCIMA;ZGRADA DRUŠTVENOG DOMA U PLEŠCIMA;ANTUNA MUHVIÆA 1, PLEŠCE;246;147;147;145;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;73;15;0;0;2;0;0;0;30;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;3;2;1;0;0;0;0;0;0;18;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.5467941;14.686296
7;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;1;BIRAÈKO MJESTO BR. 1;"ZGRADA PODRUÈNE OŠ ""I.G. KOVAÈIÆA"" CRNI LUG";CRNI LUG, I.G. KOVAÈIÆA 2;298;200;200;194;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;64;12;0;0;2;0;0;1;24;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;7;10;4;0;0;1;0;0;0;0;0;0;0;0;1;0;9;3;0;0;1;0;0;0;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;84;7;1;1;0;0;0;0;0;0;43;0;1;0;8;6;0;0;0;0;0;0;0;1;0;0;1;0;0;0;45.4172138;14.7046655
7;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;2;BIRAÈKO MJESTO BR. 2;ZGRADA MGP LUÈICE;LUÈICE, LUÈIÆKA CESTA 1;275;126;126;121;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;3;0;0;0;0;0;0;0;0;1;0;0;0;27;8;0;0;0;0;0;0;10;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0;4;7;1;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;34;1;0;0;0;0;0;0;0;0;23;0;0;0;1;9;4;0;0;1;0;0;0;0;0;0;2;0;0;0;45.3790333;14.7947515
7;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;3;BIRAÈKO MJESTO BR. 3;ZGRADA RADNIÈKOG DOMA DELNICE;DELNICE, ŠKOLSKA 24;1048;690;690;670;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;10;5;0;0;0;0;0;0;1;0;0;1;0;2;213;60;1;0;5;0;1;3;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;4;0;0;0;0;0;0;0;0;0;0;0;0;18;23;8;0;0;0;1;0;3;0;0;0;0;0;0;1;49;9;1;0;0;0;0;1;0;1;2;0;0;0;0;18;1;2;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;3;0;0;0;0;0;0;0;1;0;0;0;0;248;10;2;3;3;7;5;0;0;0;137;1;0;0;17;26;6;1;1;0;0;3;1;1;0;0;2;0;0;0;45.3978475;14.8001073
7;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;4;BIRAÈKO MJESTO BR. 4;ZGRADA SUDA DELNICE;DELNICE, TINA UJEVIÆA 1;1144;724;724;699;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;2;0;0;0;0;0;0;0;0;0;0;0;0;11;2;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;36;12;3;0;0;0;0;0;0;0;0;0;0;0;2;200;68;0;0;8;1;2;4;55;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;4;0;0;0;0;0;1;0;0;0;1;0;0;32;43;16;0;0;0;0;0;1;0;0;0;0;0;0;0;49;8;4;0;0;0;0;1;1;0;1;0;0;1;5;12;3;2;0;0;0;0;0;3;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;1;12;0;3;0;3;0;2;0;0;0;0;0;0;0;0;262;1;0;5;5;0;2;1;0;0;162;0;0;1;9;10;2;1;0;0;0;0;0;1;0;0;1;0;0;1;45.3933771;14.8009137
7;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;5;BIRAÈKO MJESTO BR. 5;ZGRADA ŠUMARIJE DELNICE;DELNICE, PETRA KREŠIMIRA IV  53;1236;794;793;779;14;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;17;2;0;0;0;0;0;2;0;0;0;1;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;40;11;10;0;0;0;2;0;0;0;1;0;0;0;4;210;68;0;0;2;2;0;2;94;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;32;2;0;0;0;0;2;0;0;0;0;1;0;0;22;41;20;0;0;1;0;0;1;0;0;1;0;0;0;0;41;1;3;1;2;1;0;1;0;1;1;0;0;0;0;17;1;3;0;0;0;1;1;2;0;0;0;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2;9;0;1;0;0;0;0;0;0;0;0;0;0;310;5;0;3;4;2;1;0;1;0;174;0;0;1;24;37;5;0;2;1;0;0;1;0;0;1;0;0;0;0;45.4050851;14.797674
