Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - DRAŽEN KELEMINEC - A - HSP - Dražen Keleminec;JURE HULJEV;DALIBOR FUÆAK;ANDRIJA ŠKRIBULJA;VJEKOSLAV JOVIÆ;ANKA ÐURIŠIÆ;ZLATKO OREŠKOVIÆ;TIHOMIR MESAROV;ZORAN ŠAJKOVIÆ;SENKA DURDOV;HRVOJE DRAGANIÆ;TOMISLAV RUKAVINA;MILAN ŽUFIKA;ZORAN POSTRUŽIN;MIRKO KOROŠEC;FOKUS, REPUBLIKA;GORDANA DERANJA;LORAN MILANOVIÆ;DAMIR PRHAT;DAMIR GRÜNBAUM;MILAN PERKOVIÆ;IVA DELLABERNARDINA;NIKOLINA BENIÆ;PATRICIJA VANÐELIÆ;MARIJA VIRKES;NENAD ŠÆULAC;DENIS KIŠ;MARIJA VARŽIÆ GOLUBIÆ;IGOR LUKEŽ;ANDREJ RADETIÆ;ODLUÈNOST I PRAVEDNOST - OIP;HRVOJE ŽUPARIÆ;ANDRIJA RUŽIÆ;BOJAN VUKOREPA;FANI RADOVAN RIGOVIÆ;TIHOMIR KRALJEVIÆ;SENAD BEGIÆ;EDO ŠARUNIÆ;ANTO LUJIÆ;ZORAN ANDRIÆ;TONI GJAJA;LEONARDO ŠALIÆ;MILKA LOZIÆ;MARTA MATANOVIÆ;VESNA JAKOPOVIÆ;STRANKA IVANA PERNARA;IVANA ŠAIN;VLADIMIR LEON KELLER;DENI RAKOVIÆ;ANGELINA PRPIÆ;BENITO LJUBOVIÆ;ENA BABIÆ;FILIP MARIÆ;NINA ŠIMONOVIÆ;STEFANO VIDONIS;GORDANA VIDAK;ROKO ORLOVIÆ;LEAN MARETIÆ;DANIJELA HORVAT;MIRSADA IMŠIROVIÆ;DOMOVINSKI POKRET - DP, PRAVO I PRAVDA;IVAN VILIBOR SINÈIÆ;BOŽANA KRISTIÆ;MARINA BEG UMILJENOVIÆ;SNJEŽANA BAŽAJ-BOÆKAI;MATEA FILIPOVIÆ;PAOLA VELLICO BATEL;MILICA ERCEG;IVICA KRSTAŠ;RITA UJÈIÆ;MARIJAN ZOVIÆ;DENI JANKO;ZORAN STJEPANOVIÆ;FRANJO BARTOLAC;DAVOR POPOVIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;OLEG BUTKOVIÆ;ANTON KLIMAN;JOSIP OSTROGOVIÆ;TOMISLAV KLARIÆ;IRENA HRSTIÆ;ALEN RUŽIÆ;JOSIP BORIÆ;DAVOR ZUBOVIÆ;ILIRJANA-CROATA MEDUR;ANA KUÈIÆ;MARIO BRATULIÆ;IVAN BUBIÆ;KRISTJAN STANIÈIÆ;IVAN KIRIN;HRVATSKA STRANKA PRAVA - HSP, HRVATSKO BILO, HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS;MARIN BUBANJ;STIPICA BAŠKARAD;NIKO PUŠELJA;GABRIJELA ANIÈIÆ;ELVIRA MARIÆ;TATJANA SMOJVER-SILOV;DANICA MARKOVIÆ;LJUBICA ŠEVERDIJA;NIVES KLJAJIÆ;DUBRAVKO MARŠAL;SLAVKO VRBAN;MIROSLAV MARKOVIÆ;DEJAN ILIJIÆ;ROBERT CIFREK;ISTARSKI DEMOKRATSKI SABOR - IDS, PRIMORSKO GORANSKI SAVEZ - PGS, UNIJA KVARNERA - UNIJA, ISTARSKA STRANKA UMIROVLJENIKA - PARTITO ISTRIANO DEI PENSIONATI - ISU - PIP, SOCIJALDEMOKRATI, NARODNA STRANKA - REFORMISTI - REFORMISTI, DEMOKRATI, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;DALIBOR PAUS;DARIJO VASILIÆ;VALTER GLAVIÈIÆ;LORIS PERŠURIÆ;HELGA MOŽÉ;EMIL DAUS;TAJANA MASOVÈIÆ;LJILJANA MILOŠ;TEA MIÈIÆ BADURINA;ANTEO MILOS;KATARINA NEMET;SENKA ŠUBAT;MARKO PALIAGA;MARKO BORAS MANDIÆ;MOST, HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, NEZAVISNA LISTA MLADIH - NLM;MARIN MILETIÆ;IVAN VIDOVIÆ;PETRA MANDIÆ;LUKA JAKOPOVIÆ;SILVIJA TERLEVIÆ;MARIJAN ŠEGOTA;SABINA MAROV;BORIS ADŽIÆ;JELENA ALESSIO;VERICA ÆORKOVIÆ;ORHAN SALI;IZABELA ÐAKOVIÆ;ALEKSANDAR-SAŠA MILAKOVIÆ;JOSIP KATALINIÆ;MOŽEMO! - POLITIÈKA PLATFORMA;DUŠICA RADOJÈIÆ;MORENA LEKAN;NEBOJŠA ZELIÈ;ENNA PEROŠ;SLAVEN BOLJUN;IVA DAVORIJA;HANA PALEKA;MIHA PAUS;NOEL MIRKOVIÆ;ANA FONOVIÆ;RENATO STANKOVIÆ;DANIEL ANTUNOVIÆ;DRAGAN DRUŽETA;SUZANA JAŠIÆ;RADNIÈKA FRONTA - RF;KATARINA PEOVIÆ;GORAN MATIÆ;KARIN GRGOROVIÆ;BORIS KAPURALIN;DUBRAVKA KOVAÈEVIÆ;ENIS ÈAUŠEVIÆ;GORDANA VUDRAGOVIÆ;NIJAZ DELIÆ;NATALIJA STEFANOVIÆ;BOJAN BIRK;BISERKA MOMÈINOVIÆ;ALEKSANDAR ALOBIÆ;IZVOR RUKAVINA;LEMS JERIN;"SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, CENTAR, HRVATSKA SELJAÈKA STRANKA - HSS, ""DALIJA OREŠKOVIÆ I LJUDI S IMENOM I PREZIMENOM"" - ""DO i SIP"", GRAÐANSKO-LIBERALNI SAVEZ - GLAS";PEÐA GRBIN;MIRELA AHMETOVIÆ;ZLATKO KOMADINA;SANJA RADOLOVIÆ;SAŠA ÐUJIÆ;ANA PUŽ KUKULJAN;MARIN RAÈIÆ;SLOBODAN FRUK;MARKO FERENAC;MARIA BLAŽINA;KRISTIAN ÈARAPIÆ;BOJANA PUZIGAÆA;NADJA POROPAT;ŽELJKO JOVANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP;VLADIMIR KAPURALIN;DAVOR RAKIÆ;ULIANA MOSCARDA;MILOŠ MITROVIÆ;RANKA ÈIÈOVAÈKI;LUCA ANTONIO ŠURAN;RUŽA KNEŽEVIÆ;MARIN BRKLJAÈA;DANICA OBREZA;LUKA ERCEGOVIÆ;ZAHIDA DEDUKIÆ;SLOBODAN OBREZA;ILONA ŠIMIÈIÆ;DARKO MILIÆ;UMIROVLJENICI ZAJEDNO - POLITIÈKA PLATFORMA - UMIROVLJENICI ZAJEDNO, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU;MARIJA PALAZIOL;ANÐELKA BIJELONJIÆ;EUFEMIA MIŠIÆ;MIRKO BIJELONJIÆ;DENIS PAULETIÆ;VLADIMIR ŠIMUNIÆ;DARKO ŠEGOTA;BLAŽENKA BERGIÆ;BRANKO BIJELONJIÆ;VESNA MATOŠEVIÆ;ŽELJKO BILIÆ;CHRISTINE BIBALO-BALAŠKO;MILORAD KARDUM;JOSIP PULIÆ;Latitude;Longitude
8;VIII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;1;BAKAR;"PROSTORIJE DOMA KULTURE ""MATIJA MAŽIÆ""";NAUTIÈKA 14A;1145;662;662;652;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;1;0;0;0;0;0;0;48;19;3;0;0;1;0;1;3;1;0;0;1;0;0;256;32;0;3;172;1;1;1;2;0;1;0;1;0;9;5;0;0;0;0;1;0;0;0;0;0;0;0;0;3;33;3;11;1;0;0;0;0;0;1;1;1;8;0;2;26;10;0;1;0;2;4;0;0;0;0;0;2;0;0;40;4;0;4;0;0;3;0;0;1;3;0;2;0;1;17;8;0;0;0;0;0;1;1;0;0;0;1;0;0;187;40;39;22;4;2;1;1;1;0;0;3;1;1;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;24;3;1;0;1;0;0;2;0;0;0;0;0;1;0;45.3052193;14.534971
8;VIII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;2;KRASICA;PROSTORIJE MJESNOG ODBORA KRASICA;KRASICA 230A;1163;721;721;699;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;1;0;0;1;0;0;0;0;13;4;1;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;5;3;0;0;0;0;0;2;0;0;1;0;1;0;254;65;0;3;126;0;1;1;4;0;0;0;0;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;45;0;18;0;0;0;0;0;1;0;0;0;5;0;2;37;13;1;5;0;0;1;1;0;0;0;0;0;1;1;57;3;5;5;0;0;0;0;0;0;0;0;1;0;1;16;11;0;0;0;0;0;0;0;0;0;0;0;1;0;219;45;61;18;1;1;0;2;0;0;2;2;0;7;7;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;22;3;1;0;0;2;0;1;1;1;0;1;0;0;0;45.3068046;14.5342464
8;VIII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;3;ŠKRLJEVO;PROSTORIJE DOMA KULTURE ŠKRLJEVO;ŠKRLJEVO 191;1067;695;695;672;23;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;2;0;1;0;0;0;0;0;0;0;0;0;0;1;7;0;1;0;0;0;0;3;0;0;1;0;0;0;1;40;17;0;2;0;0;0;0;1;0;2;0;0;0;1;244;46;0;2;139;1;3;1;4;0;0;0;0;0;3;6;2;0;0;0;1;0;0;0;0;0;0;0;0;0;36;0;13;0;0;0;0;0;0;0;0;0;5;0;4;32;18;0;1;0;0;2;0;0;0;0;0;0;0;2;65;5;8;0;3;0;0;1;0;0;2;0;5;0;0;27;20;0;0;0;0;1;0;0;1;0;0;0;0;0;177;32;34;24;2;3;1;1;0;0;0;0;2;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;2;1;1;0;2;0;0;0;0;0;2;0;2;1;45.32071579999999;14.5341585
8;VIII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;4;KUKULJANOVO;PROSTORIJE DOMA KULTURE KUKULJANOVO;KUKULJANOVO 205B;818;570;570;556;14;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;11;2;1;0;0;0;0;2;0;0;0;0;0;0;1;4;0;0;1;0;0;0;0;1;0;0;1;0;0;0;26;7;0;1;1;1;0;0;0;1;0;1;0;0;0;171;23;0;2;120;1;3;1;0;0;0;0;0;0;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;39;2;13;0;0;1;0;0;1;2;0;0;5;0;1;36;10;2;1;0;0;1;0;0;0;0;0;1;1;0;67;2;25;2;1;0;1;0;0;0;1;1;1;0;0;7;3;0;0;0;0;1;0;0;0;0;0;0;0;0;175;40;42;16;0;1;2;0;0;0;0;1;0;3;4;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;3;0;0;1;0;0;0;0;0;0;0;0;0;0;45.3259138;14.5220448
8;VIII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;5;HRELJIN;PROSTORIJE DOMA KULTURE HRELJIN;HRELJIN 119;1233;788;788;773;15;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;1;2;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;43;20;0;0;0;3;0;0;0;2;0;0;0;1;0;265;47;0;1;161;0;5;0;2;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;2;19;0;2;0;0;0;0;1;0;0;27;0;1;59;32;2;0;0;0;1;0;0;0;0;0;1;1;1;55;6;2;6;1;0;0;0;0;0;1;1;0;0;0;19;9;0;0;0;0;1;0;0;1;0;0;0;0;0;223;49;55;17;0;18;1;0;1;0;0;4;0;0;8;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;15;3;0;0;1;0;0;1;1;0;1;0;0;0;0;45.2832286;14.600613
8;VIII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;6;HRELJIN;"PROSTORIJE NK ""NAPRIJED""";HRELJIN, MEJA GAJ BB;630;381;381;374;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;6;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;1;0;0;0;1;0;0;0;0;0;0;0;23;10;0;0;0;2;0;0;0;0;0;0;0;1;0;116;39;0;0;57;0;0;1;0;0;0;0;0;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;8;0;0;1;0;0;0;1;0;0;15;0;0;22;12;1;0;0;0;1;0;0;0;0;0;0;0;1;25;1;3;3;0;0;1;1;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;118;24;31;9;0;4;0;0;0;0;1;2;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;1;2;2;0;0;1;0;0;0;0;45.3068046;14.5342464
8;VIII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;7;ZLOBIN;PROSTORIJE DOMA KULTURE ZLOBIN;ZLOBIN 157;241;165;165;161;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;73;4;0;0;60;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;3;0;0;0;0;0;0;0;0;0;2;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;49;10;9;6;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;45.2886932;14.651762
8;VIII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;8;PRAPUTNJAK;PROSTORIJE PODRUÈNE ŠKOLE PRAPUTNJAK;PRAPUTNJAK 101;461;327;327;316;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;6;5;0;0;0;0;0;0;0;0;0;0;0;0;130;32;0;0;78;0;2;0;0;0;2;0;0;0;1;6;1;0;0;0;0;0;0;0;0;0;1;0;0;0;16;0;5;0;0;0;0;1;0;0;0;0;4;0;1;16;11;0;0;1;0;0;0;0;0;0;0;0;0;0;21;1;1;2;0;1;0;0;0;0;0;0;0;0;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;88;25;18;11;0;0;0;0;0;0;1;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;45.2990058;14.5740919
8;VIII. IZBORNA JEDINICA;18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;1;BUJE-BUIE;"OSNOVNA ŠKOLA ""MATE BALOTA"" BUJE-SCUOLA ELEMENTARE ""MATE BALOTA"" BUIE";ŠKOLSKI BRIJEG BB;724;382;382;370;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;1;0;0;0;1;0;13;10;1;0;0;0;0;0;0;0;0;0;1;0;0;57;19;12;1;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;11;0;3;2;0;2;0;1;0;34;5;0;1;0;21;3;10;1;0;0;0;0;0;2;0;0;0;0;0;21;2;1;0;1;0;0;0;0;0;0;0;0;0;2;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;144;28;11;2;3;0;1;0;0;2;0;0;75;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;45.4086766;13.6594771
8;VIII. IZBORNA JEDINICA;18;ISTARSKA ŽUPANIJA;grad;BUJE - BUIE;2;BUJE-BUIE;"OSNOVNA ŠKOLA ""MATE BALOTA"" BUJE-SCUOLA ELEMENTARE ""MATE BALOTA"" BUIE";ŠKOLSKI BRIJEG BB;1156;593;593;572;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;10;1;0;0;0;0;1;0;0;1;0;0;0;0;106;40;26;2;0;1;3;0;0;0;0;1;4;2;6;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;92;11;0;7;3;0;2;0;0;2;17;7;1;0;0;33;10;11;0;0;0;0;0;1;2;1;0;0;0;0;43;6;2;1;0;0;2;0;0;0;0;2;1;0;1;14;10;0;0;0;2;0;0;0;0;0;0;0;0;0;238;45;11;3;6;0;0;0;0;3;0;0;113;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;1;0;0;0;0;0;0;1;0;0;0;1;45.4086766;13.6594771
